,ping_jitter,ping_latency,ping_low,ping_high,hostname,date,predictions,basic_ema_anomaly,dspot_anomaly,tuned_dspot_anomaly
0,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 00:00:30.000000000,False,False,False,False
1,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 03:00:30.000000000,False,False,False,False
2,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 06:00:30.000000000,False,False,False,False
3,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 09:00:30.000000000,False,False,False,False
4,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 12:00:30.000000000,False,False,False,False
5,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 15:00:30.000000000,False,False,False,False
6,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 18:00:30.000000000,False,False,False,False
7,6.322,21.648,13.289,25.195,09ccf4b,2025-04-16 21:00:30.000000000,False,False,False,False
8,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 00:00:30.000000000,False,False,False,False
9,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 03:00:30.000000000,False,False,False,False
10,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 06:00:30.000000000,False,False,False,False
11,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 09:00:30.000000000,False,False,False,False
12,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 12:00:30.000000000,False,False,False,False
13,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 15:00:30.000000000,False,False,False,False
14,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 18:00:30.000000000,False,False,False,False
15,6.322,21.648,13.289,25.195,09ccf4b,2025-04-17 21:00:30.000000000,False,False,False,False
16,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 00:00:30.000000000,False,False,False,False
17,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 03:00:30.000000000,False,False,False,False
18,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 06:00:30.000000000,False,False,False,False
19,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 09:00:30.000000000,False,False,False,False
20,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 12:00:30.000000000,False,False,False,False
21,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 15:00:30.000000000,False,False,False,False
22,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 18:00:30.000000000,False,False,False,False
23,6.322,21.648,13.289,25.195,09ccf4b,2025-04-18 21:00:30.000000000,False,False,False,False
24,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 00:00:30.000000000,False,False,False,False
25,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 03:00:30.000000000,False,False,False,False
26,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 06:00:30.000000000,False,False,False,False
27,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 09:00:30.000000000,False,False,False,False
28,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 12:00:30.000000000,False,False,False,False
29,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 15:00:30.000000000,False,False,False,False
30,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 18:00:30.000000000,False,False,False,False
31,6.322,21.648,13.289,25.195,09ccf4b,2025-04-19 21:00:30.000000000,False,False,False,False
32,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 00:00:30.000000000,False,False,False,False
33,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 03:00:30.000000000,False,False,False,False
34,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 06:00:30.000000000,False,False,False,False
35,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 09:00:30.000000000,False,False,False,False
36,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 12:00:30.000000000,False,False,False,False
37,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 15:00:30.000000000,False,False,False,False
38,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 18:00:30.000000000,False,False,False,False
39,6.322,21.648,13.289,25.195,09ccf4b,2025-04-20 21:00:30.000000000,False,False,False,False
40,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 00:00:30.000000000,False,False,False,False
41,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 03:00:30.000000000,False,False,False,False
42,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 06:00:30.000000000,False,False,False,False
43,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 09:00:30.000000000,False,False,False,False
44,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 12:00:30.000000000,False,False,False,False
45,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 15:00:30.000000000,False,False,False,False
46,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 18:00:30.000000000,False,False,False,False
47,6.322,21.648,13.289,25.195,09ccf4b,2025-04-21 21:00:30.000000000,False,False,False,False
48,6.322,21.648,13.289,25.195,09ccf4b,2025-04-22 00:00:30.000000000,False,False,False,False
49,6.322,21.648,13.289,25.195,09ccf4b,2025-04-22 03:00:30.000000000,False,False,False,False
50,6.322,21.648,13.289,25.195,09ccf4b,2025-04-22 06:00:30.000000000,False,False,False,False
51,6.322,21.648,13.289,25.195,09ccf4b,2025-04-22 09:00:30.000000000,False,False,False,False
52,5.954,22.452,18.895,25.981,09ccf4b,2025-04-22 12:00:29.000000000,False,False,False,False
53,7.304,23.635,16.448,26.746,09ccf4b,2025-04-22 15:00:31.000000000,False,True,False,False
54,5.959,18.566,14.263,25.431,09ccf4b,2025-04-22 15:30:31.000000000,False,False,False,False
55,5.671,24.339,12.874,25.895,09ccf4b,2025-04-22 18:00:36.000000000,False,True,False,False
56,4.112,23.215,16.481,27.149,09ccf4b,2025-04-22 18:30:33.000000000,False,False,False,False
57,6.618,22.918,12.999,26.512,09ccf4b,2025-04-22 21:00:33.000000000,False,False,False,False
58,7.391,19.113,15.774,26.88,09ccf4b,2025-04-22 21:30:26.000000000,False,False,False,False
59,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 00:00:30.000000000,False,False,False,False
60,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 03:00:30.000000000,False,False,False,False
61,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 06:00:30.000000000,False,False,False,False
62,5.671,24.339,12.874,25.895,09ccf4b,2025-04-23 09:00:30.000000000,False,True,False,False
63,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 12:00:30.000000000,False,False,False,False
64,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 15:00:30.000000000,False,False,False,False
65,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 18:00:30.000000000,False,False,False,False
66,6.322,21.648,13.289,25.195,09ccf4b,2025-04-23 21:00:30.000000000,False,False,False,False
67,6.322,21.648,13.289,25.195,09ccf4b,2025-04-24 00:00:30.000000000,False,False,False,False
68,6.322,21.648,13.289,25.195,09ccf4b,2025-04-24 03:00:30.000000000,False,False,False,False
69,6.322,21.648,13.289,25.195,09ccf4b,2025-04-24 06:00:30.000000000,False,False,False,False
70,6.322,21.648,13.289,25.195,09ccf4b,2025-04-24 09:00:30.000000000,False,False,False,False
71,6.322,21.648,13.289,25.195,09ccf4b,2025-04-24 12:00:30.000000000,False,False,False,False
72,6.618,22.918,12.999,26.512,09ccf4b,2025-04-24 15:00:30.000000000,False,False,False,False
73,6.618,22.918,12.999,26.512,09ccf4b,2025-04-24 18:00:30.000000000,False,False,False,False
74,6.618,22.918,12.999,26.512,09ccf4b,2025-04-24 21:00:30.000000000,False,False,False,False
75,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 00:00:30.000000000,False,False,False,False
76,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 03:00:30.000000000,False,False,False,False
77,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 06:00:30.000000000,False,False,False,False
78,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 09:00:30.000000000,False,False,False,False
79,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 12:00:30.000000000,False,False,False,False
80,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 15:00:30.000000000,False,False,False,False
81,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 18:00:30.000000000,False,False,False,False
82,6.618,22.918,12.999,26.512,09ccf4b,2025-04-25 21:00:30.000000000,False,False,False,False
83,6.618,22.918,12.999,26.512,09ccf4b,2025-04-26 00:00:30.000000000,False,False,False,False
84,6.618,22.918,12.999,26.512,09ccf4b,2025-04-26 03:00:30.000000000,False,False,False,False
85,6.618,22.918,12.999,26.512,09ccf4b,2025-04-26 06:00:30.000000000,False,False,False,False
86,6.618,22.918,12.999,26.512,09ccf4b,2025-04-26 09:00:30.000000000,False,False,False,False
