model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear Classifier (Logistic Regression),0f42441,0.8375,0.1875,0.14285714285714285,0.2727272727272727,0.4798657718120805,0.9798657718120806,0.2727272727272727,3,18,131,8,3,8,18,160,11
Nearest Neighbors,0f42441,0.925,0.0,0.0,0.0,0.5884685784014643,0.3825503355704698,0.6363636363636364,0,1,148,11,0,11,1,160,11
Linear SVM,0f42441,0.8375,0.1875,0.14285714285714285,0.2727272727272727,0.47193410616229414,0.9798657718120806,0.2727272727272727,3,18,131,8,3,8,18,160,11
RBF SVM,0f42441,0.79375,0.32653061224489793,0.21052631578947367,0.7272727272727273,0.7525930445393533,0.48322147651006714,0.2727272727272727,8,30,119,3,8,3,30,160,11
Decision Tree,0f42441,0.84375,0.13793103448275862,0.1111111111111111,0.18181818181818182,0.327333740085418,0.9731543624161074,0.09090909090909091,2,16,133,9,2,9,16,160,11
Random Forest,0f42441,0.9,0.0,0.0,0.0,0.35448444173276394,0.9395973154362416,0.2727272727272727,0,5,144,11,0,11,5,160,11
AdaBoost,0f42441,0.875,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.24984746796827337,0.9865771812080537,0.18181818181818182,1,10,139,10,1,10,10,160,11
Naive Bayes,0f42441,0.8625,0.3888888888888889,0.28,0.6363636363636364,0.8038438071995119,0.4697986577181208,0.6363636363636364,7,18,131,4,7,4,18,160,11
Linear Classifier (Logistic Regression),38b6bf0,0.30423940149625933,0.14678899082568808,0.08304498269896193,0.631578947368421,0.4469334493257939,0.8870523415977961,0.02631578947368421,24,265,98,14,24,14,265,401,38
Nearest Neighbors,38b6bf0,0.830423940149626,0.1282051282051282,0.125,0.13157894736842105,0.5285268957517761,0.8787878787878788,0.13157894736842105,5,35,328,33,5,33,35,401,38
Linear SVM,38b6bf0,0.29925187032418954,0.16119402985074627,0.09090909090909091,0.7105263157894737,0.45193562418442795,0.8787878787878788,0.02631578947368421,27,270,93,11,27,11,270,401,38
RBF SVM,38b6bf0,0.286783042394015,0.16374269005847952,0.09210526315789473,0.7368421052631579,0.4904306220095694,0.9449035812672176,0.05263157894736842,28,276,87,10,28,10,276,401,38
Decision Tree,38b6bf0,0.4114713216957606,0.15714285714285714,0.09090909090909091,0.5789473684210527,0.4866971146875453,0.9035812672176309,0.13157894736842105,22,220,143,16,22,16,220,401,38
Random Forest,38b6bf0,0.8902743142144638,0.0,0.0,0.0,0.5206974046686965,0.977961432506887,0.10526315789473684,0,6,357,38,0,38,6,401,38
AdaBoost,38b6bf0,0.8778054862842892,0.0392156862745098,0.07692307692307693,0.02631578947368421,0.5881180223285487,0.8126721763085399,0.13157894736842105,1,12,351,37,1,37,12,401,38
Naive Bayes,38b6bf0,0.743142144638404,0.13445378151260504,0.09876543209876543,0.21052631578947367,0.5099318544294621,0.9090909090909091,0.05263157894736842,8,73,290,30,8,30,73,401,38
Linear Classifier (Logistic Regression),b340432,0.4123456790123457,0.28313253012048195,0.19915254237288135,0.4895833333333333,0.3931364617044229,0.9223300970873787,0.052083333333333336,47,189,120,49,47,49,189,405,96
Nearest Neighbors,b340432,0.7555555555555555,0.019801980198019802,0.2,0.010416666666666666,0.5086805555555556,0.9158576051779935,0.052083333333333336,1,4,305,95,1,95,4,405,96
Linear SVM,b340432,0.24444444444444444,0.3651452282157676,0.22797927461139897,0.9166666666666666,0.4269822006472492,0.948220064724919,0.08333333333333333,88,298,11,8,88,8,298,405,96
RBF SVM,b340432,0.24444444444444444,0.3651452282157676,0.22797927461139897,0.9166666666666666,0.3775283171521036,0.9546925566343042,0.11458333333333333,88,298,11,8,88,8,298,405,96
Decision Tree,b340432,0.4148148148148148,0.30498533724340177,0.21224489795918366,0.5416666666666666,0.4253135113268608,0.9093851132686084,0.13541666666666666,52,193,116,44,52,44,193,405,96
Random Forest,b340432,0.762962962962963,0.0,0.0,0.0,0.46521035598705496,0.9546925566343042,0.0625,0,0,309,96,0,96,0,405,96
AdaBoost,b340432,0.7555555555555555,0.09174311926605505,0.38461538461538464,0.052083333333333336,0.45627696871628914,0.9352750809061489,0.11458333333333333,5,8,301,91,5,91,8,405,96
Naive Bayes,b340432,0.5160493827160494,0.3950617283950617,0.2807017543859649,0.6666666666666666,0.580467907227616,0.9514563106796117,0.16666666666666666,64,164,145,32,64,32,164,405,96
Linear Classifier (Logistic Regression),c073f39,0.7146401985111662,0.16058394160583941,0.12359550561797752,0.22916666666666666,0.5768485915492958,0.9014084507042254,0.125,11,78,277,37,11,37,78,403,48
Nearest Neighbors,c073f39,0.8610421836228288,0.0,0.0,0.0,0.5046361502347417,0.856338028169014,0.125,0,8,347,48,0,48,8,403,48
Linear SVM,c073f39,0.6898263027295285,0.17218543046357615,0.1262135922330097,0.2708333333333333,0.557306338028169,0.9549295774647887,0.14583333333333334,13,90,265,35,13,35,90,403,48
RBF SVM,c073f39,0.674937965260546,0.18633540372670807,0.13274336283185842,0.3125,0.6026701877934273,0.7718309859154929,0.16666666666666666,15,98,257,33,15,33,98,403,48
