model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear Classifier (Logistic Regression),c073f39,0.652605459057072,0.13580246913580246,0.08333333333333333,0.36666666666666664,0.4904825737265415,0.9571045576407506,0.26666666666666666,11,121,252,19,11,19,121,403,30
Nearest Neighbors,c073f39,0.9255583126550868,0.0,0.0,0.0,0.49119749776586236,0.7962466487935657,0.13333333333333333,0,0,373,30,0,30,0,403,30
Linear SVM,c073f39,0.6947890818858561,0.16326530612244897,0.10256410256410256,0.4,0.4744861483467382,0.9705093833780161,0.13333333333333333,12,105,268,18,12,18,105,403,30
RBF SVM,c073f39,0.6476426799007444,0.21978021978021978,0.13157894736842105,0.6666666666666666,0.6706434316353888,0.8525469168900804,0.26666666666666666,20,132,241,10,20,10,132,403,30
Decision Tree,c073f39,0.8114143920595533,0.05,0.04,0.06666666666666667,0.47086684539767654,0.9222520107238605,0.06666666666666667,2,48,325,28,2,28,48,403,30
Random Forest,c073f39,0.9255583126550868,0.0,0.0,0.0,0.5340929401251118,0.7667560321715817,0.03333333333333333,0,0,373,30,0,30,0,403,30
AdaBoost,c073f39,0.9255583126550868,0.0625,0.5,0.03333333333333333,0.5287756925826631,0.8873994638069705,0.06666666666666667,1,1,372,29,1,29,1,403,30
Naive Bayes,c073f39,0.7617866004962779,0.23809523809523808,0.15625,0.5,0.6153261840929402,0.9490616621983914,0.26666666666666666,15,81,292,15,15,15,81,403,30
Linear Classifier (Logistic Regression),b340432,0.562962962962963,0.34686346863468637,0.34306569343065696,0.35074626865671643,0.5082199702594041,0.9188191881918819,0.1044776119402985,47,90,181,87,47,87,90,405,134
Nearest Neighbors,b340432,0.6592592592592592,0.31,0.4696969696969697,0.23134328358208955,0.5138376383763837,0.8523985239852399,0.19402985074626866,31,35,236,103,31,103,35,405,134
Linear SVM,b340432,0.6074074074074074,0.33472803347280333,0.38095238095238093,0.29850746268656714,0.5295065264085477,0.8929889298892989,0.13432835820895522,40,65,206,94,40,94,65,405,134
RBF SVM,b340432,0.48641975308641977,0.4720812182741117,0.3576923076923077,0.6940298507462687,0.5395026711461144,0.8819188191881919,0.15671641791044777,93,167,104,41,93,41,167,405,134
Decision Tree,b340432,0.6444444444444445,0.13253012048192772,0.34375,0.08208955223880597,0.46351269482844076,0.9446494464944649,0.08208955223880597,11,21,250,123,11,123,21,405,134
Random Forest,b340432,0.6617283950617284,0.14906832298136646,0.4444444444444444,0.08955223880597014,0.5255411136200915,0.8892988929889298,0.12686567164179105,12,15,256,122,12,122,15,405,134
AdaBoost,b340432,0.6641975308641975,0.10526315789473684,0.4444444444444444,0.05970149253731343,0.5068017844357549,0.8856088560885609,0.15671641791044777,8,10,261,126,8,126,10,405,134
Naive Bayes,b340432,0.528395061728395,0.4398826979472141,0.36231884057971014,0.5597014925373134,0.5362807732554937,0.8966789667896679,0.14925373134328357,75,132,139,59,75,59,132,405,134
Linear Classifier (Logistic Regression),38b6bf0,0.6633416458852868,0.014598540145985401,0.009345794392523364,0.03333333333333333,0.3723719676549865,0.9002695417789758,0.03333333333333333,1,106,265,29,1,29,106,401,30
Nearest Neighbors,38b6bf0,0.9152119700748129,0.0,0.0,0.0,0.45884995507637016,0.8355795148247979,0.06666666666666667,0,4,367,30,0,30,4,401,30
Linear SVM,38b6bf0,0.7830423940149626,0.02247191011235955,0.01694915254237288,0.03333333333333333,0.6850404312668463,0.5579514824797843,0.1,1,58,313,29,1,29,58,401,30
RBF SVM,38b6bf0,0.7082294264339152,0.09302325581395349,0.06060606060606061,0.2,0.45359389038634323,0.9460916442048517,0.03333333333333333,6,93,278,24,6,24,93,401,30
Decision Tree,38b6bf0,0.7905236907730673,0.06666666666666667,0.05,0.1,0.46949685534591196,0.7142857142857143,0.03333333333333333,3,57,314,27,3,27,57,401,30
Random Forest,38b6bf0,0.9226932668329177,0.0,0.0,0.0,0.44636118598382746,0.9326145552560647,0.03333333333333333,0,1,370,30,0,30,1,401,30
AdaBoost,38b6bf0,0.9052369077306733,0.0,0.0,0.0,0.5562893081761007,0.894878706199461,0.1,0,8,363,30,0,30,8,401,30
Naive Bayes,38b6bf0,0.7481296758104738,0.10619469026548672,0.07228915662650602,0.2,0.49132973944294694,0.9110512129380054,0.16666666666666666,6,77,294,24,6,24,77,401,30
Linear Classifier (Logistic Regression),592a43c,0.9285714285714286,0.08695652173913043,0.058823529411764705,0.16666666666666666,0.6053240740740741,0.6597222222222222,0.16666666666666666,1,16,272,5,1,5,16,294,6
Nearest Neighbors,592a43c,0.9795918367346939,0.0,0.0,0.0,0.4791666666666667,0.7986111111111112,0.16666666666666666,0,0,288,6,0,6,0,294,6
Linear SVM,592a43c,0.9217687074829932,0.08,0.05263157894736842,0.16666666666666666,0.6030092592592592,0.6701388888888888,0.16666666666666666,1,18,270,5,1,5,18,294,6
RBF SVM,592a43c,0.9387755102040817,0.0,0.0,0.0,0.572337962962963,0.7395833333333334,0.0,0,12,276,6,0,6,12,294,6
Decision Tree,592a43c,0.9591836734693877,0.0,0.0,0.0,0.5899884259259259,0.9930555555555556,0.16666666666666666,0,6,282,6,0,6,6,294,6
Random Forest,592a43c,0.9795918367346939,0.0,0.0,0.0,0.44791666666666663,0.9513888888888888,0.0,0,0,288,6,0,6,0,294,6
AdaBoost,592a43c,0.95578231292517,0.0,0.0,0.0,0.6359953703703705,0.9513888888888888,0.16666666666666666,0,7,281,6,0,6,7,294,6
Naive Bayes,592a43c,0.935374149659864,0.0,0.0,0.0,0.5274884259259259,0.9548611111111112,0.0,0,13,275,6,0,6,13,294,6
Linear Classifier (Logistic Regression),43e847f,0.35507246376811596,0.1188118811881188,0.06629834254143646,0.5714285714285714,0.3708683473389356,0.9725490196078431,0.047619047619047616,12,169,86,9,12,9,169,276,21
Nearest Neighbors,43e847f,0.894927536231884,0.06451612903225806,0.1,0.047619047619047616,0.5063492063492063,0.9176470588235294,0.14285714285714285,1,9,246,20,1,20,9,276,21
Linear SVM,43e847f,0.4384057971014493,0.1340782122905028,0.0759493670886076,0.5714285714285714,0.4440709617180205,0.8862745098039215,0.0,12,146,109,9,12,9,146,276,21
RBF SVM,43e847f,0.4384057971014493,0.1340782122905028,0.0759493670886076,0.5714285714285714,0.46405228758169936,0.9411764705882353,0.047619047619047616,12,146,109,9,12,9,146,276,21
Decision Tree,43e847f,0.3333333333333333,0.12380952380952381,0.06878306878306878,0.6190476190476191,0.45480859010270774,0.9372549019607843,0.047619047619047616,13,176,79,8,13,8,176,276,21
Random Forest,43e847f,0.9202898550724637,0.0,0.0,0.0,0.423155929038282,0.9647058823529412,0.047619047619047616,0,1,254,21,0,21,1,276,21
AdaBoost,43e847f,0.9166666666666666,0.0,0.0,0.0,0.47591036414565824,0.792156862745098,0.047619047619047616,0,2,253,21,0,21,2,276,21
Naive Bayes,43e847f,0.4420289855072464,0.125,0.07096774193548387,0.5238095238095238,0.5030812324929972,0.8588235294117647,0.14285714285714285,11,144,111,10,11,10,144,276,21
Linear Classifier (Logistic Regression),dede9dc,0.8170426065162907,0.0,0.0,0.0,0.2065491183879093,0.9899244332493703,0.0,0,71,326,2,0,2,71,399,2
Nearest Neighbors,dede9dc,0.9949874686716792,0.0,0.0,0.0,0.48488664987405544,0.36272040302267,0.0,0,0,397,2,0,2,0,399,2
Linear SVM,dede9dc,0.8696741854636592,0.0,0.0,0.0,0.8287153652392947,0.33249370277078083,0.5,0,50,347,2,0,2,50,399,2
RBF SVM,dede9dc,0.9724310776942355,0.0,0.0,0.0,0.4508816120906801,0.9269521410579346,0.0,0,9,388,2,0,2,9,399,2
Decision Tree,dede9dc,0.7794486215538847,0.0,0.0,0.0,0.3916876574307305,0.44836272040302266,0.0,0,86,311,2,0,2,86,399,2
Random Forest,dede9dc,0.9949874686716792,0.0,0.0,0.0,0.34508816120906805,0.49370277078085645,0.0,0,0,397,2,0,2,0,399,2
AdaBoost,dede9dc,0.9799498746867168,0.0,0.0,0.0,0.4301007556675063,0.8816120906801007,0.0,0,6,391,2,0,2,6,399,2
Naive Bayes,dede9dc,0.10275689223057644,0.005555555555555556,0.002793296089385475,0.5,0.18513853904282118,0.9848866498740554,0.0,1,357,40,1,1,1,357,399,2
Linear Classifier (Logistic Regression),b407ebe,0.7860824742268041,0.023529411764705882,0.0125,0.2,0.5509138381201043,0.856396866840731,0.0,1,79,304,4,1,4,79,388,5
Nearest Neighbors,b407ebe,0.9871134020618557,0.0,0.0,0.0,0.4556135770234987,0.7650130548302873,0.0,0,0,383,5,0,5,0,388,5
Linear SVM,b407ebe,0.8144329896907216,0.02702702702702703,0.014492753623188406,0.2,0.5399477806788512,0.9660574412532638,0.0,1,68,315,4,1,4,68,388,5
RBF SVM,b407ebe,0.8427835051546392,0.031746031746031744,0.017241379310344827,0.2,0.6370757180156658,0.7075718015665796,0.0,1,57,326,4,1,4,57,388,5
Decision Tree,b407ebe,0.8737113402061856,0.0,0.0,0.0,0.4425587467362924,0.7650130548302873,0.0,0,44,339,5,0,5,44,388,5
Random Forest,b407ebe,0.9871134020618557,0.0,0.0,0.0,0.4261096605744126,0.8616187989556136,0.0,0,0,383,5,0,5,0,388,5
AdaBoost,b407ebe,0.9819587628865979,0.0,0.0,0.0,0.404177545691906,0.8877284595300261,0.0,0,2,381,5,0,5,2,388,5
Naive Bayes,b407ebe,0.8530927835051546,0.03389830508474576,0.018518518518518517,0.2,0.431331592689295,0.9164490861618799,0.2,1,53,330,4,1,4,53,388,5
Linear Classifier (Logistic Regression),f8f4b44,0.4218362282878412,0.13382899628252787,0.07725321888412018,0.5,0.46215561610656974,0.9128065395095368,0.1111111111111111,18,215,152,18,18,18,215,403,36
Nearest Neighbors,f8f4b44,0.8660049627791563,0.06896551724137931,0.09090909090909091,0.05555555555555555,0.5446563729942476,0.9019073569482289,0.1111111111111111,2,20,347,34,2,34,20,403,36
Linear SVM,f8f4b44,0.25806451612903225,0.14326647564469913,0.07987220447284345,0.6944444444444444,0.4747956403269755,0.9318801089918256,0.16666666666666666,25,288,79,11,25,11,288,403,36
RBF SVM,f8f4b44,0.21339950372208435,0.14555256064690028,0.08059701492537313,0.75,0.4801695428398426,0.9346049046321526,0.1388888888888889,27,308,59,9,27,9,308,403,36
Decision Tree,f8f4b44,0.6352357320099256,0.11976047904191617,0.07633587786259542,0.2777777777777778,0.46737814108386316,0.9019073569482289,0.08333333333333333,10,121,246,26,10,26,121,403,36
Random Forest,f8f4b44,0.9106699751861043,0.0,0.0,0.0,0.48126702997275206,0.8910081743869209,0.1111111111111111,0,0,367,36,0,36,0,403,36
