model,hostname,accuracy,f1_score,precision,recall,roc_auc,fpr_at_90_recall,recall_at_10_fpr,true_positives,false_positives,true_negatives,false_negatives,caught_anomalies,missed_anomalies,false_alarms,total_test_samples,total_anomalies
Linear Classifier (Logistic Regression),0f42441,0.83125,0.3076923076923077,0.21428571428571427,0.5454545454545454,0.6256863941427702,1.0,0.5454545454545454,6,22,127,5,6,5,22,160,11
Nearest Neighbors,0f42441,0.9125,0.0,0.0,0.0,0.6211104331909703,0.2483221476510067,0.36363636363636365,0,3,146,11,0,11,3,160,11
Linear SVM,0f42441,0.84375,0.2857142857142857,0.20833333333333334,0.45454545454545453,0.7800488102501526,0.40268456375838924,0.45454545454545453,5,19,130,6,5,6,19,160,11
RBF SVM,0f42441,0.79375,0.32653061224489793,0.21052631578947367,0.7272727272727273,0.7538133007931666,0.4563758389261745,0.2727272727272727,8,30,119,3,8,3,30,160,11
Decision Tree,0f42441,0.84375,0.13793103448275862,0.1111111111111111,0.18181818181818182,0.33221476510067116,0.9731543624161074,0.18181818181818182,2,16,133,9,2,9,16,160,11
Random Forest,0f42441,0.9,0.0,0.0,0.0,0.42556436851738866,0.9932885906040269,0.2727272727272727,0,5,144,11,0,11,5,160,11
AdaBoost,0f42441,0.9,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.2797437461866992,0.9328859060402684,0.18181818181818182,1,6,143,10,1,10,6,160,11
Naive Bayes,0f42441,0.79375,0.32653061224489793,0.21052631578947367,0.7272727272727273,0.8081147040878583,0.4228187919463087,0.6363636363636364,8,30,119,3,8,3,30,160,11
Linear Classifier (Logistic Regression),c073f39,0.9305210918114144,0.0,0.0,0.0,0.47885572139303484,0.5223880597014925,0.0,0,27,375,1,0,1,27,403,1
Nearest Neighbors,c073f39,0.9975186104218362,0.0,0.0,0.0,0.4975124378109453,0.26865671641791045,0.0,0,0,402,1,0,1,0,403,1
Linear SVM,c073f39,0.9503722084367245,0.0,0.0,0.0,0.38681592039800994,0.6144278606965174,0.0,0,19,383,1,0,1,19,403,1
RBF SVM,c073f39,0.9875930521091811,0.0,0.0,0.0,0.34950248756218905,0.6517412935323383,0.0,0,4,398,1,0,1,4,403,1
Decision Tree,c073f39,0.9627791563275434,0.0,0.0,0.0,0.48258706467661694,0.2860696517412935,0.0,0,14,388,1,0,1,14,403,1
Random Forest,c073f39,0.9975186104218362,0.0,0.0,0.0,0.40796019900497515,0.36318407960199006,0.0,0,0,402,1,0,1,0,403,1
AdaBoost,c073f39,0.9975186104218362,0.0,0.0,0.0,0.7885572139303483,0.1691542288557214,0.0,0,0,402,1,0,1,0,403,1
Naive Bayes,c073f39,0.9975186104218362,0.0,0.0,0.0,0.33955223880597013,0.6592039800995025,0.0,0,0,402,1,0,1,0,403,1
Linear Classifier (Logistic Regression),b340432,0.7728395061728395,0.08,0.045454545454545456,0.3333333333333333,0.5066793893129771,0.8600508905852418,0.25,4,84,309,8,4,8,84,405,12
Nearest Neighbors,b340432,0.9703703703703703,0.0,0.0,0.0,0.5776081424936386,0.6717557251908397,0.25,0,0,393,12,0,12,0,405,12
Linear SVM,b340432,0.6271604938271605,0.03821656050955414,0.020689655172413793,0.25,0.5471798134011874,0.8625954198473282,0.16666666666666666,3,142,251,9,3,9,142,405,12
RBF SVM,b340432,0.7185185185185186,0.03389830508474576,0.018867924528301886,0.16666666666666666,0.44857930449533506,0.8396946564885496,0.16666666666666666,2,104,289,10,2,10,104,405,12
Decision Tree,b340432,0.8024691358024691,0.047619047619047616,0.027777777777777776,0.16666666666666666,0.4592875318066158,0.7379134860050891,0.08333333333333333,2,70,323,10,2,10,70,405,12
Random Forest,b340432,0.9703703703703703,0.0,0.0,0.0,0.41369804919423236,0.9033078880407125,0.0,0,0,393,12,0,12,0,405,12
AdaBoost,b340432,0.9654320987654321,0.0,0.0,0.0,0.597434266327396,0.7557251908396947,0.25,0,2,391,12,0,12,2,405,12
Naive Bayes,b340432,0.9012345679012346,0.09090909090909091,0.0625,0.16666666666666666,0.46957167090754875,0.8625954198473282,0.16666666666666666,2,30,363,10,2,10,30,405,12
Linear Classifier (Logistic Regression),38b6bf0,0.6109725685785536,0.04878048780487805,0.026845637583892617,0.26666666666666666,0.42495682210708113,0.9507772020725389,0.06666666666666667,4,145,241,11,4,11,145,401,15
Nearest Neighbors,38b6bf0,0.9625935162094763,0.0,0.0,0.0,0.5100172711571676,0.9637305699481865,0.2,0,0,386,15,0,15,0,401,15
Linear SVM,38b6bf0,0.5361596009975063,0.06060606060606061,0.03278688524590164,0.4,0.5439550949913644,0.9222797927461139,0.2,6,177,209,9,6,9,177,401,15
RBF SVM,38b6bf0,0.7755610972568578,0.021739130434782608,0.012987012987012988,0.06666666666666667,0.348272884283247,0.9533678756476683,0.06666666666666667,1,76,310,14,1,14,76,401,15
Decision Tree,38b6bf0,0.7581047381546134,0.020202020202020204,0.011904761904761904,0.06666666666666667,0.42461139896373057,0.844559585492228,0.0,1,83,303,14,1,14,83,401,15
Random Forest,38b6bf0,0.9625935162094763,0.0,0.0,0.0,0.5449913644214163,0.8937823834196891,0.2,0,0,386,15,0,15,0,401,15
AdaBoost,38b6bf0,0.9576059850374065,0.10526315789473684,0.25,0.06666666666666667,0.4956822107081174,0.8937823834196891,0.06666666666666667,1,3,383,14,1,14,3,401,15
Naive Bayes,38b6bf0,0.8528678304239401,0.03278688524590164,0.021739130434782608,0.06666666666666667,0.3546632124352331,0.9145077720207254,0.06666666666666667,1,45,341,14,1,14,45,401,15
Linear Classifier (Logistic Regression),dede9dc,0.8847117794486216,0.041666666666666664,0.02127659574468085,1.0,0.935929648241206,0.06532663316582915,1.0,1,46,352,0,1,0,46,399,1
Nearest Neighbors,dede9dc,0.9974937343358395,0.0,0.0,0.0,0.4949748743718593,0.35678391959798994,0.0,0,0,398,1,0,1,0,399,1
Linear SVM,dede9dc,0.8897243107769424,0.043478260869565216,0.022222222222222223,1.0,0.08919597989949746,0.9095477386934674,0.0,1,44,354,0,1,0,44,399,1
RBF SVM,dede9dc,0.9874686716791979,0.0,0.0,0.0,0.885678391959799,0.11306532663316583,0.0,0,4,394,1,0,1,4,399,1
Decision Tree,dede9dc,0.9548872180451128,0.0,0.0,0.0,0.478643216080402,0.3844221105527638,0.0,0,17,381,1,0,1,17,399,1
Random Forest,dede9dc,0.9974937343358395,0.0,0.0,0.0,0.4183417085427136,0.4271356783919598,0.0,0,0,398,1,0,1,0,399,1
AdaBoost,dede9dc,0.9974937343358395,0.0,0.0,0.0,0.9108040201005025,0.08793969849246232,1.0,0,0,398,1,0,1,0,399,1
Naive Bayes,dede9dc,0.5664160401002506,0.011428571428571429,0.005747126436781609,1.0,0.9208542713567839,0.07788944723618091,1.0,1,173,225,0,1,0,173,399,1
Linear Classifier (Logistic Regression),b407ebe,0.7860824742268041,0.023529411764705882,0.0125,0.2,0.5509138381201043,0.856396866840731,0.0,1,79,304,4,1,4,79,388,5
Nearest Neighbors,b407ebe,0.9871134020618557,0.0,0.0,0.0,0.4556135770234987,0.7650130548302873,0.0,0,0,383,5,0,5,0,388,5
Linear SVM,b407ebe,0.8144329896907216,0.02702702702702703,0.014492753623188406,0.2,0.5399477806788512,0.9660574412532638,0.0,1,68,315,4,1,4,68,388,5
RBF SVM,b407ebe,0.8427835051546392,0.031746031746031744,0.017241379310344827,0.2,0.6370757180156658,0.7075718015665796,0.0,1,57,326,4,1,4,57,388,5
Decision Tree,b407ebe,0.8737113402061856,0.0,0.0,0.0,0.4425587467362924,0.7650130548302873,0.0,0,44,339,5,0,5,44,388,5
Random Forest,b407ebe,0.9871134020618557,0.0,0.0,0.0,0.4114882506527415,0.8015665796344648,0.0,0,0,383,5,0,5,0,388,5
AdaBoost,b407ebe,0.9819587628865979,0.0,0.0,0.0,0.404177545691906,0.8877284595300261,0.0,0,2,381,5,0,5,2,388,5
Naive Bayes,b407ebe,0.8530927835051546,0.03389830508474576,0.018518518518518517,0.2,0.431331592689295,0.9164490861618799,0.2,1,53,330,4,1,4,53,388,5
Linear Classifier (Logistic Regression),f8f4b44,0.6650124069478908,0.014598540145985401,0.007518796992481203,0.25,0.5476190476190476,0.7293233082706767,0.25,1,132,267,3,1,3,132,403,4
Nearest Neighbors,f8f4b44,0.9900744416873449,0.0,0.0,0.0,0.5648496240601504,0.9924812030075187,0.25,0,0,399,4,0,4,0,403,4
Linear SVM,f8f4b44,0.5806451612903226,0.011695906432748537,0.005988023952095809,0.25,0.48997493734335845,0.9949874686716792,0.0,1,166,233,3,1,3,166,403,4
RBF SVM,f8f4b44,0.607940446650124,0.04819277108433735,0.024691358024691357,1.0,0.24373433583959903,0.9849624060150376,0.0,4,158,241,0,4,0,158,403,4
Decision Tree,f8f4b44,0.7990074441687345,0.024096385542168676,0.012658227848101266,0.25,0.4736842105263158,0.9624060150375939,0.25,1,78,321,3,1,3,78,403,4
Random Forest,f8f4b44,0.9900744416873449,0.0,0.0,0.0,0.6065162907268171,0.8847117794486216,0.0,0,0,399,4,0,4,0,403,4
AdaBoost,f8f4b44,0.9875930521091811,0.0,0.0,0.0,0.6115288220551379,0.543859649122807,0.0,0,1,398,4,0,4,1,403,4
Naive Bayes,f8f4b44,0.9578163771712159,0.0,0.0,0.0,0.7412280701754387,0.5714285714285714,0.25,0,13,386,4,0,4,13,403,4
Linear Classifier (Logistic Regression),b5c8445,0.7814207650273224,0.2857142857142857,0.18181818181818182,0.6666666666666666,0.847953216374269,0.21052631578947367,0.25,8,36,135,4,8,4,36,183,12
Nearest Neighbors,b5c8445,0.8797814207650273,0.26666666666666666,0.2222222222222222,0.3333333333333333,0.7495126705653021,0.543859649122807,0.4166666666666667,4,14,157,8,4,8,14,183,12
Linear SVM,b5c8445,0.7923497267759563,0.2692307692307692,0.175,0.5833333333333334,0.7855750487329434,0.21052631578947367,0.25,7,33,138,5,7,5,33,183,12
RBF SVM,b5c8445,0.7868852459016393,0.3157894736842105,0.2,0.75,0.7441520467836258,0.9941520467836257,0.3333333333333333,9,36,135,3,9,3,36,183,12
Decision Tree,b5c8445,0.9289617486338798,0.23529411764705882,0.4,0.16666666666666666,0.5745614035087719,0.847953216374269,0.3333333333333333,2,3,168,10,2,10,3,183,12
Random Forest,b5c8445,0.8961748633879781,0.24,0.23076923076923078,0.25,0.9010721247563354,0.15789473684210525,0.4166666666666667,3,10,161,9,3,9,10,183,12
AdaBoost,b5c8445,0.9289617486338798,0.13333333333333333,0.3333333333333333,0.08333333333333333,0.912280701754386,0.1871345029239766,0.75,1,2,169,11,1,11,2,183,12
Naive Bayes,b5c8445,0.8524590163934426,0.22857142857142856,0.17391304347826086,0.3333333333333333,0.5392300194931775,0.9941520467836257,0.3333333333333333,4,19,152,8,4,8,19,183,12
Linear Classifier (Logistic Regression),9840de6,0.5954773869346733,0.0,0.0,0.0,0.36020151133501255,0.6397984886649875,0.0,0,160,237,1,0,1,160,398,1
Nearest Neighbors,9840de6,0.9974874371859297,0.0,0.0,0.0,0.47732997481108314,0.801007556675063,0.0,0,0,397,1,0,1,0,398,1
Linear SVM,9840de6,0.5527638190954773,0.0,0.0,0.0,0.36272040302267006,0.6372795969773299,0.0,0,177,220,1,0,1,177,398,1
RBF SVM,9840de6,0.9974874371859297,0.0,0.0,0.0,0.3929471032745592,0.6070528967254408,0.0,0,0,397,1,0,1,0,398,1
Decision Tree,9840de6,0.8040201005025126,0.0,0.0,0.0,0.40302267002518893,0.9748110831234257,0.0,0,77,320,1,0,1,77,398,1
Random Forest,9840de6,0.9974874371859297,0.0,0.0,0.0,0.24307304785894207,0.9042821158690176,0.0,0,0,397,1,0,1,0,398,1
AdaBoost,9840de6,0.992462311557789,0.0,0.0,0.0,0.46851385390428213,0.5289672544080605,0.0,0,2,395,1,0,1,2,398,1
Naive Bayes,9840de6,0.9597989949748744,0.0,0.0,0.0,0.3224181360201511,0.6775818639798489,0.0,0,15,382,1,0,1,15,398,1
Linear Classifier (Logistic Regression),d493afd,0.8875739644970414,0.0,0.0,0.0,0.35119047619047616,0.6488095238095238,0.0,0,18,150,1,0,1,18,169,1
Nearest Neighbors,d493afd,0.9940828402366864,0.0,0.0,0.0,0.49702380952380953,0.7023809523809523,0.0,0,0,168,1,0,1,0,169,1
Linear SVM,d493afd,0.893491124260355,0.0,0.0,0.0,0.31547619047619047,0.6845238095238095,0.0,0,17,151,1,0,1,17,169,1
RBF SVM,d493afd,0.05325443786982249,0.012345679012345678,0.006211180124223602,1.0,0.7380952380952381,0.2619047619047619,0.0,1,160,8,0,1,0,160,169,1
Decision Tree,d493afd,0.9585798816568047,0.0,0.0,0.0,0.48214285714285715,0.7083333333333334,0.0,0,6,162,1,0,1,6,169,1
Random Forest,d493afd,0.9940828402366864,0.0,0.0,0.0,0.39285714285714285,0.7202380952380952,0.0,0,0,168,1,0,1,0,169,1
AdaBoost,d493afd,0.9585798816568047,0.0,0.0,0.0,0.29464285714285715,0.7023809523809523,0.0,0,6,162,1,0,1,6,169,1
Naive Bayes,d493afd,0.7337278106508875,0.0,0.0,0.0,0.5833333333333333,0.4166666666666667,0.0,0,44,124,1,0,1,44,169,1
Linear Classifier (Logistic Regression),2620a05,0.5802469135802469,0.011627906976744186,0.005917159763313609,0.3333333333333333,0.30223880597014924,0.9427860696517413,0.0,1,168,234,2,1,2,168,405,3
Nearest Neighbors,2620a05,0.9925925925925926,0.0,0.0,0.0,0.47512437810945274,0.5348258706467661,0.3333333333333333,0,0,402,3,0,3,0,405,3
Linear SVM,2620a05,0.6320987654320988,0.013245033112582781,0.006756756756756757,0.3333333333333333,0.7218076285240465,0.6890547263681592,0.6666666666666666,1,147,255,2,1,2,147,405,3
RBF SVM,2620a05,0.4641975308641975,0.0091324200913242,0.004629629629629629,0.3333333333333333,0.6745439469320066,0.7736318407960199,0.3333333333333333,1,215,187,2,1,2,215,405,3
Decision Tree,2620a05,0.908641975308642,0.0,0.0,0.0,0.4577114427860697,0.5771144278606966,0.0,0,34,368,3,0,3,34,405,3
Random Forest,2620a05,0.9925925925925926,0.0,0.0,0.0,0.5613598673300165,0.5696517412935324,0.0,0,0,402,3,0,3,0,405,3
AdaBoost,2620a05,0.9925925925925926,0.0,0.0,0.0,0.472636815920398,0.746268656716418,0.0,0,0,402,3,0,3,0,405,3
Naive Bayes,2620a05,0.5604938271604938,0.011111111111111112,0.005649717514124294,0.3333333333333333,0.4224709784411277,0.7761194029850746,0.0,1,176,226,2,1,2,176,405,3
Linear Classifier (Logistic Regression),a2e0486,0.7703703703703704,0.07920792079207921,0.046511627906976744,0.26666666666666666,0.5532478632478633,0.8589743589743589,0.2,4,82,308,11,4,11,82,405,15
Nearest Neighbors,a2e0486,0.9629629629629629,0.0,0.0,0.0,0.4948717948717949,0.8128205128205128,0.06666666666666667,0,0,390,15,0,15,0,405,15
